Baustein;MSRNummer;Kurztext;Langtext;Var Text;Meldung bei 0 (MBIN);Meldung bei 1 (MBIN);MBA;MBE;DIM;prio1;GW1;leitend1;typ1;Mtext1;prio2;GW2;leitend2;typ2;Mtext2;prio3;GW3;leitend3;typ3;Mtext3;prio4;GW4;leitend4;typ4;Mtext4
MANA_800;L1211;C-001;Stand Reaktor C-001;Stand Reaktor C-001;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1221;C-002;Stand Reaktor C-002;Stand Reaktor C-002;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1231;C-003;Stand Reaktor C-003;Stand Reaktor C-003;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1241;C-004;Stand Reaktor C-004;Stand Reaktor C-004;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1251;C-005;Stand Reaktor C-005;Stand Reaktor C-005;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1261;C-006;Stand Reaktor C-006;Stand Reaktor C-006;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1271;C-007;Stand Reaktor C-007;Stand Reaktor C-007;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
MANA_800;L1281;C-008;Stand Reaktor C-008;Stand Reaktor C-008;;;0.0;100.0;%;;;;;;;;;;;;;;;;;;;;
